YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
2003,20,0.727705,0.586609,248,283,70,836,547,142514
2003,21,0.717701,0.773024,264,262,45,740,406,95728
2003,22,0.789394,0.790743,213,205,44,641,393,81063
2003,23,0.722129,0.711847,201,195,34,563,344,79090
2003,24,0.591326,0.794637,198,187,55,620,341,78023
2003,25,0.52307,0.586604,139,123,34,423,322,72110
2003,26,0.450236,0.615982,122,124,32,441,322,71593
2003,27,0.397421,0.491507,109,91,24,318,310,64699
2003,28,0.448002,0.604341,137,141,43,441,308,72972
2003,29,0.474767,0.524478,98,98,53,365,301,69593
2003,30,0.453251,0.590692,112,139,48,420,302,71103
2003,31,0.352158,0.505135,100,120,39,361,290,71466
2003,32,0.525322,0.634271,136,125,46,443,295,69844
2003,33,0.492991,0.610118,120,131,37,421,283,69003
2003,34,0.542728,0.641227,159,144,27,450,277,70178
2003,35,0.490347,0.661429,166,155,30,463,276,70000
2003,36,0.735914,0.792681,177,182,36,519,271,65474
2003,37,0.581771,0.639059,145,184,24,475,267,74328
2003,38,0.654162,0.636732,136,183,26,461,264,72401
2003,39,0.749504,0.747829,135,221,34,533,268,71273
2003,40,0.884021,0.960873,808,881,146,2442,830,254144
2003,41,1.02773,1.04325,913,1132,191,2932,931,281045
2003,42,1.28296,1.0545,878,1147,195,3031,974,287436
2003,43,1.32661,1.11231,1006,1369,216,3475,1007,312412
2003,44,1.77304,1.41274,1207,2080,276,4690,1074,331980
2003,45,2.43814,1.72703,1542,2735,264,5790,1111,335258
2003,46,2.72605,2.407,2185,4133,310,8385,1141,348359
2003,47,3.73192,3.10962,2561,5684,471,11141,1129,358275
2003,48,4.54894,4.30779,3247,4933,672,11742,1118,272576
2003,49,5.39906,4.8303,4734,7817,1067,18948,1189,392274
2003,50,7.38735,6.42905,6620,11550,1219,24962,1173,388269
2003,51,7.48097,6.86734,6434,9851,1508,23699,1148,345097
2003,52,7.62797,7.06496,5336,5231,1331,16415,1122,232344
2003,53,5.14051,4.55115,3391,2894,1220,11332,1139,248992
2004,1,2.89129,2.41833,1930,2299,768,7602,1160,314349
2004,2,2.10429,1.80906,1679,1857,461,5583,1141,308614
2004,3,1.88696,1.71202,1721,1604,360,4961,1084,289774
2004,4,1.7766,1.5425,1487,1543,339,4436,1071,287586
2004,5,1.46001,1.43787,1454,1448,302,4251,1054,295646
2004,6,1.37787,1.32427,1420,1297,218,3824,986,288762
2004,7,1.30532,1.30726,1301,1255,259,3691,1004,282347
2004,8,1.08691,1.03698,956,1038,203,2916,948,281202
2004,9,0.991888,1.01032,925,910,227,2744,894,271597
2004,10,1.02765,1.05249,878,888,178,2708,897,257294
2004,11,1.0579,1.02009,730,826,175,2487,849,243802
2004,12,0.849361,0.924419,760,733,179,2300,859,248805
2004,13,0.747127,0.790645,610,611,142,1858,828,234998
2004,14,0.661708,0.80261,583,566,116,1705,774,212432
2004,15,0.679514,0.83613,545,573,131,1749,755,209178
2004,16,0.633071,0.792436,501,511,142,1615,679,203802
2004,17,0.569894,0.683588,470,404,108,1331,658,194708
2004,18,0.591357,0.757452,435,491,85,1394,629,184038
2004,19,0.589044,0.788585,449,443,74,1327,599,168276
2004,20,0.67864,0.812171,451,380,94,1262,553,155386
2004,21,0.637558,0.804463,375,349,66,1070,463,133008
2004,22,0.813309,0.877701,391,308,73,1061,452,120884
2004,23,0.834551,0.741453,355,309,66,987,443,133117
2004,24,0.616174,0.661022,307,240,46,851,426,128740
2004,25,0.513286,0.715109,277,284,81,887,423,124037
2004,26,0.351881,0.562241,238,183,62,698,408,124146
2004,27,0.542621,0.786808,233,205,62,710,381,90238
2004,28,0.581036,0.860658,249,280,80,836,378,97135
2004,29,0.495486,0.689944,259,200,38,659,370,95515
2004,30,0.61209,0.779691,260,230,40,719,363,92216
2004,31,0.531491,0.628144,213,235,60,733,345,116693
2004,32,0.519987,0.902459,243,256,63,809,334,89644
2004,33,0.574476,0.806443,256,256,58,770,335,95481
2004,34,0.663175,0.874888,259,265,44,799,333,91326
2004,35,0.614691,0.993213,279,358,71,960,326,96656
2004,36,0.656823,0.876141,281,309,60,913,337,104207
2004,37,0.723016,0.948092,342,413,68,1122,341,118343
2004,38,0.691857,0.926943,322,416,83,1089,336,117483
2004,39,0.782758,0.971643,333,382,82,1116,364,114857
2004,40,0.982275,0.897159,877,1256,185,3171,1176,353449
2004,41,1.01821,1.02248,1071,1373,216,3631,1187,355116
2004,42,1.1768,1.06296,1240,1534,226,4019,1267,378094
2004,43,1.30121,1.14696,1190,1671,285,4369,1293,380921
2004,44,1.27746,1.20495,1327,1718,291,4551,1302,377692
2004,45,1.40387,1.30517,1497,1874,319,4969,1344,380718
2004,46,1.40301,1.28699,1531,1874,299,4983,1336,387182
2004,47,1.73975,1.59468,1490,1678,271,4713,1341,295546
2004,48,1.56894,1.39714,1538,2059,376,5407,1369,387004
2004,49,1.65927,1.44996,1551,2052,375,5428,1346,374356
2004,50,1.81341,1.61745,1670,2071,371,5755,1379,355806
2004,51,2.37626,2.19112,1856,1807,418,5689,1288,259639
2004,52,2.77052,2.56649,2252,1993,621,7279,1332,283617
2005,1,2.40064,2.17645,2010,2450,712,8041,1383,369455
2005,2,2.54155,2.20171,2188,2982,611,8323,1342,378024
2005,3,2.85871,2.53012,2199,3682,608,9328,1348,368678
2005,4,3.55011,3.06524,2747,5364,725,12422,1334,405254
2005,5,4.58591,3.98061,3086,7650,958,16192,1303,406772
2005,6,5.05809,4.59568,3626,8854,1132,19369,1324,421461
2005,7,5.44151,4.75197,3834,8400,1182,19931,1330,419426
2005,8,4.4729,4.17962,3720,6759,1026,16630,1280,397883
2005,9,3.6752,3.45359,2997,5343,836,13234,1268,383196
2005,10,3.3353,3.15852,2728,4494,745,11601,1227,367292
2005,11,2.76224,2.6732,2416,3513,604,9502,1185,355454
2005,12,2.46844,2.35161,2145,2771,550,7900,1148,335940
2005,13,2.00081,1.89243,1827,2133,390,6329,1103,334438
2005,14,1.54319,1.5249,1422,1737,330,4816,1048,315823
2005,15,1.50195,1.41134,1356,1603,317,4445,1000,314948
2005,16,1.22918,1.25068,1096,1469,306,3825,978,305833
2005,17,1.21854,1.20702,1117,1411,224,3646,971,302065
2005,18,1.15832,1.07895,903,1136,189,2990,923,277120
2005,19,1.249,1.14521,979,1115,208,3012,878,263009
2005,20,1.16888,1.06124,805,926,200,2531,825,238494
2005,21,1.07888,1.0568,687,695,156,2056,687,194550
2005,22,1.23059,1.25193,693,678,160,2099,637,167661
2005,23,1.14747,1.01419,548,594,140,1744,603,171960
2005,24,1.00254,1.04197,573,507,125,1614,582,154899
2005,25,0.957569,0.954027,580,507,110,1628,587,170645
2005,26,0.894837,0.84823,497,452,84,1359,550,160216
2005,27,0.798205,0.841872,426,390,69,1198,533,142302
2005,28,0.757812,0.730894,389,361,75,1148,524,157068
2005,29,0.825963,0.713432,333,364,68,1068,507,149699
2005,30,0.744927,0.670677,328,327,56,990,492,147612
2005,31,0.787049,0.689278,331,326,58,982,488,142468
2005,32,0.684724,0.704929,319,350,57,1023,479,145121
2005,33,0.747361,0.615903,330,326,47,928,480,150673
2005,34,0.673974,0.609426,292,311,54,922,428,151290
2005,35,0.869662,0.680259,342,367,51,1033,420,151854
2005,36,0.899529,0.775488,338,396,63,1061,416,136817
2005,37,0.854635,0.683421,302,383,52,1026,408,150127
2005,38,1.01123,0.781075,368,516,50,1219,419,156067
2005,39,0.977808,0.806943,381,484,63,1204,447,149205
2005,40,1.17778,1.07635,1172,1256,234,3586,1113,333164
2005,41,1.21947,1.05869,1285,1247,197,3582,1160,338343
2005,42,1.3069,1.11523,1393,1525,212,4122,1216,369609
2005,43,1.33931,1.12381,1439,1599,213,4248,1237,377999
2005,44,1.58374,1.25489,1639,1894,282,5005,1280,398840
2005,45,1.47072,1.33661,1563,1929,295,5038,1272,376924
2005,46,1.6112,1.37864,1679,1951,315,5276,1277,382697
2005,47,1.82699,1.60829,1666,1593,294,4802,1301,298578
2005,48,1.77482,1.48311,1858,2176,349,5966,1325,402264
2005,49,1.94451,1.65374,1987,2463,387,6371,1328,385248
2005,50,2.35512,2.00679,2241,3063,396,7697,1318,383548
2005,51,3.10878,2.56857,2696,3058,530,8577,1287,333921
2005,52,3.28238,3.05278,2678,2561,721,8842,1273,289638
2006,1,2.62914,2.42504,2422,2366,734,8339,1319,343871
2006,2,2.2515,2.00195,2272,2921,534,7882,1339,393716
2006,3,2.35858,2.05869,2249,3150,460,7858,1297,381699
2006,4,2.41881,2.21277,2643,3646,544,9114,1331,411882
2006,5,2.52752,2.3222,2612,4153,498,9551,1320,411291
2006,6,2.64954,2.49279,2754,4593,537,10427,1311,418286
2006,7,3.12935,2.79489,2624,4979,631,11226,1288,401661
2006,8,3.12442,2.96911,2753,5284,791,11901,1288,400827
2006,9,3.13099,2.83959,2579,5008,767,11343,1275,399459
2006,10,3.08261,2.77799,2564,5106,678,11261,1257,405365
2006,11,2.64431,2.47287,2330,4154,607,9322,1241,376971
2006,12,2.42295,2.18061,1895,3709,541,8064,1217,369804
2006,13,2.31141,2.0168,1697,3393,478,7313,1165,362605
2006,14,1.86383,1.64101,1437,2660,342,5738,1133,349662
2006,15,1.44943,1.35829,1181,2014,285,4547,1087,334760
2006,16,1.30227,1.1428,959,1479,239,3550,1045,310641
2006,17,1.13459,1.04031,836,1382,180,3177,1017,305389
2006,18,1.06255,0.964347,745,1208,190,2780,958,288278
2006,19,1.03428,0.937982,745,1039,187,2592,919,276338
2006,20,1.01791,0.947449,715,969,162,2428,877,256267
2006,21,0.918151,0.891918,699,764,146,2061,783,231075
2006,22,0.93099,0.864643,572,561,108,1645,649,190252
2006,23,0.857294,0.97032,754,626,131,2075,635,213847
2006,24,0.786294,0.84439,514,447,81,1430,615,169353
2006,25,0.719426,0.77487,463,409,100,1300,610,167770
2006,26,0.718868,0.821372,466,390,92,1271,572,154741
2006,27,0.774807,0.872745,437,402,71,1215,565,139216
2006,28,0.76598,0.922635,549,511,108,1617,577,175259
2006,29,0.642809,0.899487,541,440,112,1553,564,172654
2006,30,0.622033,0.843082,502,403,128,1455,564,172581
2006,31,0.616326,0.881824,508,430,88,1428,551,161937
2006,32,0.685694,0.817145,473,435,82,1373,547,168024
2006,33,0.622697,0.8715,510,466,91,1457,536,167183
2006,34,0.611817,0.738621,404,379,76,1138,503,154071
2006,35,0.638831,0.797966,398,457,77,1224,488,153390
2006,36,0.806627,1.01394,492,506,69,1463,491,144289
2006,37,0.762448,0.880936,446,521,78,1406,487,159603
2006,38,0.813406,0.943366,511,534,80,1487,455,157627
2006,39,0.807934,0.891546,476,512,81,1433,469,160732
2006,40,1.15384,1.20322,1434,1699,264,4513,1323,375076
2006,41,1.14819,1.05788,1278,1602,200,4072,1361,384920
2006,42,1.22736,1.13054,1543,1830,265,4737,1425,419005
2006,43,1.21744,1.12552,1582,1996,224,4888,1445,434287
2006,44,1.32813,1.20808,1672,2270,281,5380,1473,445334
2006,45,1.47754,1.34952,2112,2393,314,6139,1497,454901
2006,46,1.5339,1.4689,2355,2681,290,6668,1474,453945
2006,47,1.91269,1.82767,2188,2202,357,6156,1488,336822
2006,48,1.838,1.6656,2573,2792,391,7530,1486,452089
2006,49,1.95376,1.85968,2643,3244,431,8122,1493,436741
2006,50,2.40407,2.38891,3270,4470,479,10396,1492,435177
2006,51,2.87453,2.78978,3387,4065,503,10192,1435,365334
2006,52,3.02597,3.11549,3243,2868,586,8913,1359,286087
2007,1,2.37817,2.26942,2927,2481,584,8386,1490,369521
2007,2,2.09232,1.86355,2507,2756,480,7761,1467,416464
2007,3,2.29396,1.99986,2548,3248,412,7909,1470,395477
2007,4,2.74501,2.4406,3410,4684,537,10888,1495,446119
2007,5,3.04434,2.83018,3456,5648,457,12120,1472,428241
2007,6,3.49999,3.12343,3840,6995,452,14197,1484,454533
2007,7,3.57851,3.27019,3879,6668,529,14031,1461,429057
2007,8,3.28979,3.17757,3728,6537,608,14048,1460,442099
2007,9,2.89149,2.72364,3016,5429,578,11801,1428,433281
2007,10,2.62075,2.50201,2798,4937,447,10715,1408,428255
2007,11,2.53387,2.4272,2668,4031,472,9597,1361,395394
2007,12,2.07251,1.96041,2049,3307,349,7562,1333,385735
2007,13,1.87084,1.5914,1664,2508,351,6148,1303,386327
2007,14,1.40042,1.36978,1445,1803,331,4958,1284,361955
2007,15,1.46887,1.36317,1429,1821,345,4869,1240,357183
2007,16,1.15514,1.1737,1257,1523,287,4179,1206,356055
2007,17,1.07901,1.06358,1152,1386,220,3695,1152,347413
2007,18,0.98492,0.969711,969,1143,210,3077,1119,317311
2007,19,1.03325,0.965362,917,1055,175,2860,1057,296262
2007,20,0.926649,0.856749,815,861,176,2442,1025,285031
2007,21,0.9201,0.863346,761,785,136,2243,925,259803
2007,22,0.954094,0.93537,722,652,130,2058,831,220020
2007,23,0.763278,0.745569,628,510,119,1679,796,225197
2007,24,0.81722,0.740428,598,469,134,1614,771,217982
2007,25,0.764586,0.672897,521,441,100,1456,749,216378
2007,26,0.793127,0.666282,514,408,102,1455,742,218376
2007,27,0.66909,0.662747,394,360,102,1169,711,176387
2007,28,0.62115,0.545619,366,372,52,1086,697,199040
2007,29,0.603659,0.586231,446,345,85,1211,698,206574
2007,30,0.649058,0.660687,477,392,96,1356,691,205241
2007,31,0.568338,0.534093,321,311,61,1037,677,194161
2007,32,0.651546,0.585549,389,385,78,1172,667,200154
2007,33,0.652176,0.618075,439,411,95,1283,666,207580
2007,34,0.803849,0.687465,495,457,88,1448,671,210629
2007,35,0.787458,0.715696,502,500,108,1526,652,213219
2007,36,0.943263,0.829313,519,545,73,1554,641,187384
2007,37,0.946932,0.800912,496,682,99,1694,638,211509
2007,38,0.987146,0.918484,609,681,121,1913,632,208278
2007,39,1.05206,0.814259,729,788,128,2228,703,273623
2007,40,0.995184,1.07197,2187,1997,290,5641,1373,526227
2007,41,1.22003,1.21786,2387,2433,303,6444,1429,529126
2007,42,1.28548,1.24576,2583,2551,352,6941,1449,557172
2007,43,1.3775,1.35984,2871,2788,375,7434,1477,546680
2007,44,1.46725,1.44671,3074,2998,368,7915,1485,547104
2007,45,1.55841,1.53286,3398,3303,377,8687,1539,566717
2007,46,1.61958,1.66653,3563,3290,471,9104,1516,546284
2007,47,1.8112,1.97488,3651,2631,476,8570,1523,433951
2007,48,1.61865,1.67305,3679,3158,413,9171,1513,548159
2007,49,1.62124,1.63405,3365,2907,392,8436,1487,516263
2007,50,1.67351,1.74595,3298,2694,402,8091,1453,463416
2007,51,1.95096,1.93643,3580,2724,459,8750,1420,451862
2007,52,2.50019,2.48905,3848,2348,522,8902,1426,357646
2008,1,2.43939,2.25405,3737,2568,670,9706,1486,430603
2008,2,2.29319,2.09147,3393,3644,816,11115,1509,531444
2008,3,2.62907,2.35934,3664,4900,595,12197,1511,516966
2008,4,3.92966,3.32331,4289,7661,722,17171,1508,516683
2008,5,4.99202,4.43381,5222,11974,1021,24812,1514,559609
2008,6,5.7776,5.34547,6059,15323,1302,31896,1526,596692
2008,7,5.98318,5.42258,6244,14336,1558,31625,1518,583210
2008,8,5.61677,5.30303,5922,12783,1728,30245,1497,570334
2008,9,4.53234,4.24456,4978,9958,1508,25027,1453,589626
2008,10,3.83249,3.628,4420,7849,1204,20254,1445,558269
2008,11,3.21522,3.03463,3878,6112,1048,16714,1412,550776
2008,12,2.69245,2.53595,3153,4493,874,13040,1395,514205
2008,13,2.03366,2.0573,2689,3395,796,10376,1379,504350
2008,14,1.65275,1.7415,2372,2697,642,8583,1327,492850
2008,15,1.3113,1.40652,2045,2354,486,7045,1318,500881
2008,16,1.1652,1.26861,1857,2013,407,6079,1288,479187
2008,17,1.02035,1.07719,1572,1713,323,4953,1208,459808
2008,18,0.877607,0.993445,1466,1416,235,4224,1147,425187
2008,19,0.825107,0.911212,1356,1381,208,4011,1098,440183
2008,20,0.787315,0.972109,1439,1274,211,3904,1074,401601
2008,21,0.805439,0.993258,1393,1116,211,3646,945,367075
2008,22,0.886061,1.09132,1473,1083,243,3803,869,348477
2008,23,0.743743,0.888446,1159,906,139,2933,789,330127
2008,24,0.706842,0.887691,1113,886,187,2906,764,327366
2008,25,0.655943,0.883187,1115,855,160,2842,755,321789
2008,26,0.633492,0.826756,937,810,133,2534,730,306499
2008,27,0.571837,0.783201,913,762,155,2405,713,307073
2008,28,0.558278,0.78061,881,749,132,2431,710,311423
2008,29,0.597893,0.769073,826,703,171,2319,696,301532
2008,30,0.577222,0.721298,779,704,131,2166,694,300292
2008,31,0.596987,0.752527,788,763,139,2289,676,304175
2008,32,0.564653,0.752721,679,706,216,2220,668,294930
2008,33,0.585682,0.792766,789,745,184,2368,657,298701
2008,34,0.503985,0.743896,730,754,134,2237,657,300714
2008,35,0.468139,0.814166,794,892,127,2429,636,298342
2008,36,0.576455,0.838401,774,880,144,2461,666,293535
2008,37,0.681361,0.851124,859,994,177,2788,685,327567
2008,38,0.794764,1.10976,1062,1527,188,3735,679,336560
2008,39,0.868116,1.03114,983,1306,179,3400,716,329731
2008,40,1.06828,1.02284,1535,2352,324,5687,1435,555999
2008,41,1.00756,1.03017,1861,2291,322,5959,1500,578446
2008,42,0.979399,1.01245,1869,2219,341,5896,1525,582351
2008,43,1.04943,1.08359,1976,2474,367,6485,1527,598473
2008,44,1.13218,1.16578,2119,2547,452,6987,1545,599343
2008,45,1.13156,1.1913,2276,2668,372,7297,1555,612526
2008,46,1.15469,1.28075,2512,2854,412,7667,1555,598635
2008,47,1.20448,1.27053,2600,2828,412,7733,1563,608646
2008,48,1.36081,1.59578,3024,2412,457,7634,1523,478386
2008,49,1.30322,1.4585,3114,2913,469,8708,1551,597052
2008,50,1.30204,1.49921,3252,3024,439,8689,1543,579573
2008,51,1.45109,1.62982,3137,2579,456,7812,1416,479318
2008,52,1.79927,2.15561,3897,2367,495,8706,1484,403876
2008,53,2.12134,2.02053,3814,2042,584,8603,1490,425780
2009,1,1.47138,1.54566,3245,2548,557,8956,1539,579428
2009,2,1.61555,1.64224,3142,3345,473,9289,1512,565631
2009,3,1.95333,1.96524,3602,4597,436,11456,1566,582932
2009,4,2.42907,2.34368,4039,6602,468,14324,1554,611176
2009,5,2.96686,2.86057,4606,8882,540,18268,1580,638613
2009,6,3.57354,3.3421,5064,11215,752,21667,1569,648304
2009,7,3.36653,3.20566,4848,9851,638,20022,1543,624583
2009,8,3.2962,3.10049,4694,10092,657,20450,1544,659573
2009,9,3.17227,2.95819,4420,9116,633,18441,1534,623389
2009,10,2.5804,2.46381,4046,7446,618,15711,1524,637672
2009,11,2.42922,2.19272,3657,6036,582,13277,1494,605503
2009,12,1.99028,1.87395,3237,5052,450,11400,1470,608342
2009,13,1.72423,1.64817,2829,4283,399,9669,1440,586651
2009,14,1.60355,1.49878,2577,3407,391,8460,1422,564460
2009,15,1.28418,1.29233,2371,2761,363,7222,1415,558837
2009,16,1.2932,1.27164,2353,2855,397,7348,1445,577836
2009,17,2.74012,2.98159,4821,8043,670,18627,1405,624734
2009,18,2.22391,2.43702,3920,6221,562,14578,1422,598189
2009,19,1.76657,2.2813,3236,5888,412,12554,1372,550300
2009,20,1.92171,3.81572,4188,12026,424,20774,1331,544432
2009,21,1.8611,4.21315,4496,12461,487,22394,1314,531526
2009,22,1.68423,3.17832,3865,8615,412,17105,1305,538177
2009,23,1.7393,2.50972,3072,5660,384,12392,1296,493761
2009,24,1.83001,2.06632,2623,4740,333,10780,1280,521701
2009,25,1.58128,1.71805,2299,3700,326,8801,1279,512268
2009,26,1.49172,1.55965,2145,2893,361,7422,1237,475877
2009,27,1.389,1.30856,1701,2481,293,6290,1246,480680
2009,28,1.34702,1.18695,1581,2437,238,5964,1248,502466
2009,29,1.16056,1.13796,1608,2285,231,5735,1248,503971
2009,30,1.2085,1.15005,1519,2199,294,5587,1254,485804
2009,31,1.15544,1.11262,1651,2082,263,5526,1230,496666
2009,32,1.14518,1.16142,1645,2321,265,5877,1234,506019
2009,33,1.4664,1.64107,2167,4210,396,8941,1286,544827
2009,34,2.38017,2.47166,2883,8253,443,14556,1320,588916
2009,35,3.44681,3.71969,3713,13114,541,21350,1358,573972
2009,36,4.05315,3.94975,4087,13407,520,22561,1367,571201
2009,37,4.26621,4.08756,4445,15326,652,26091,1380,638302
2009,38,4.21579,4.01897,4462,14152,588,24454,1313,608464
2009,39,4.8861,4.60362,4974,16291,564,27919,1331,606458
2009,40,6.06923,5.66087,9302,27406,903,48420,2056,855346
2009,41,7.09467,6.81522,11527,32585,1013,58196,2134,853912
2009,42,7.7151,7.61889,13187,39364,1070,69068,2162,906536
2009,43,7.55134,7.38836,13174,36860,1128,66411,2167,898860
2009,44,6.67118,6.33927,12161,30860,1074,57017,2197,899425
2009,45,5.20633,4.94349,10151,21112,978,42729,2191,864348
2009,46,4.04477,3.80996,8979,14652,883,32520,2157,853552
2009,47,3.49722,3.44106,7716,8237,771,22508,2146,654101
2009,48,2.69023,2.66773,7195,7988,818,21730,2122,814550
2009,49,2.47119,2.47183,6490,7218,715,19325,2093,781811
2009,50,2.44773,2.345,6275,5785,659,17081,2014,728401
2009,51,2.64594,2.71435,6078,4127,644,14575,1934,536961
2009,52,2.61567,2.67667,6598,3726,803,15613,1937,583299
2010,1,1.90712,1.98284,4998,3961,763,14299,1996,721138
2010,2,1.86738,1.82749,4877,4614,622,14088,2016,770895
2010,3,1.88072,1.92606,5399,5079,578,14757,2053,766177
2010,4,1.96908,1.92495,5333,5655,528,15122,2026,785580
2010,5,2.11387,2.08877,5816,6142,550,16037,1996,767773
2010,6,2.09695,2.03434,5496,5577,658,15381,1977,756068
2010,7,1.90294,1.97649,5388,5536,498,15065,1954,762208
2010,8,1.96951,1.99362,5040,6207,679,16087,1990,806925
2010,9,1.92331,1.85383,4281,5685,672,14486,1953,781411
2010,10,1.89659,1.8673,4612,5270,700,14354,1946,768702
2010,11,1.75181,1.69987,4063,4466,628,12601,1933,741293
2010,12,1.52632,1.49741,3625,4108,534,11191,1917,747358
2010,13,1.49572,1.45112,3408,3733,528,10359,1875,713863
2010,14,1.22313,1.20715,3090,2933,428,8813,1850,730068
2010,15,1.17754,1.17415,3117,3110,404,8801,1831,749563
2010,16,1.09112,1.16207,2921,3044,414,8362,1765,719580
2010,17,1.11958,1.17213,3081,2972,395,8440,1755,720054
2010,18,1.08169,1.12168,2781,2901,365,7914,1710,705551
2010,19,1.12497,1.14981,2851,2645,347,7697,1664,669414
2010,20,1.06197,1.13328,2816,2553,372,7603,1624,670887
2010,21,1.08909,1.08171,2636,2188,349,6853,1497,633532
2010,22,1.1776,1.19959,2413,2172,335,6595,1421,549773
2010,23,0.97493,0.952808,2147,1831,322,5755,1435,604004
2010,24,0.987132,0.916032,1975,1784,240,5316,1405,580329
2010,25,0.995991,0.926582,2027,1779,249,5334,1384,575664
2010,26,0.904726,0.86962,1754,1541,238,4718,1347,542536
2010,27,0.941927,0.903133,1753,1566,222,4691,1353,519414
2010,28,0.880415,0.773776,1458,1450,209,4234,1284,547187
2010,29,0.842615,0.742774,1323,1335,198,3950,1265,531790
2010,30,0.858382,0.730934,1290,1279,174,3850,1250,526723
2010,31,0.83383,0.786882,1381,1357,209,4077,1241,518121
2010,32,0.847437,0.763051,1378,1307,214,4008,1212,525260
2010,33,0.888273,0.841043,1485,1592,198,4518,1225,537190
2010,34,0.765372,0.791573,1520,1592,202,4420,1235,558382
2010,35,0.91858,0.912732,1564,1866,204,5007,1170,548573
2010,36,1.01432,1.03398,1850,1959,234,5493,1198,531250
2010,37,1.01233,0.934009,1720,2118,253,5510,1210,589930
2010,38,1.11803,1.08189,2134,2510,326,6741,1206,623077
2010,39,1.11806,1.06563,1995,2383,294,6387,1254,599366
2010,40,1.10939,1.13505,2627,3142,400,8473,1838,746485
2010,41,1.24341,1.25256,2953,3522,444,9347,1875,746230
2010,42,1.25726,1.2457,3044,3641,411,9684,1907,777397
2010,43,1.25734,1.26774,3226,3822,420,9904,1929,781234
2010,44,1.43414,1.43723,3451,4397,455,11020,1947,766753
2010,45,1.51838,1.53341,3927,4679,511,11807,1940,769982
2010,46,1.61617,1.69445,4416,5322,497,13336,1921,787038
2010,47,1.84378,1.9915,4598,4145,550,12079,1938,606527
2010,48,1.72535,1.81305,5045,4978,619,13997,1964,772016
2010,49,1.87923,2.01426,5060,5867,627,14958,1936,742606
2010,50,2.3371,2.55659,6300,7194,650,18022,1916,704923
2010,51,3.03533,3.38185,7295,7071,838,19899,1840,588406
2010,52,3.136,3.43172,7478,5764,1068,20346,1887,592880
2011,1,2.53336,2.69151,6584,6342,1059,20026,1923,744043
2011,2,2.91288,2.91063,6238,7773,953,20721,1921,711908
2011,3,3.44497,3.49232,7247,11243,938,26257,1964,751850
2011,4,4.16185,4.0037,8007,15291,931,31975,1947,798637
2011,5,4.55159,4.43534,8195,16366,1197,34284,1970,772974
2011,6,4.46504,4.24215,8036,16516,1096,34456,1961,812230
2011,7,4.55124,4.39719,8172,17493,1293,36567,1910,831600
2011,8,4.0822,3.90256,7839,13718,1267,31277,1908,801449
2011,9,3.38812,3.15073,6376,10496,1146,24627,1860,781629
2011,10,2.99142,2.72422,5691,8427,899,20377,1829,747993
2011,11,2.61542,2.33336,5363,6702,804,17309,1823,741807
2011,12,2.09065,1.925,4400,5489,613,14031,1790,728883
2011,13,1.86146,1.75243,4189,5025,622,12957,1770,739375
2011,14,1.61377,1.57704,3701,4557,508,11498,1723,729089
2011,15,1.42199,1.35766,3164,3562,450,9391,1681,691707
2011,16,1.3382,1.31223,3139,3064,428,8695,1651,662612
